Paper_ID,DOI,Title,Year,Dataset_Name_Verified,Dataset_Size,Train_Validation_Test_Split,Dataset_Type,Dataset_Type_Norm_Corrected,Dataset_Real_Simulated,Input_Resolution,Target_Resolution,Resolution_Evidence,Sequence_Summary,Contrast_Summary,Dataset_Public_Availability,Dataset_Availability_Evidence,Input_Field_Category,Input_Field_Strength,Target_Field_Status,Target_Field_Strength,Target_Field_Strength_Detail,Target_Field_Category,Field_Pair_Category,Field_Pathway_Detail,Ground_Truth_Type,Ground_Truth_Source,Paired_Unpaired,Low_Field_Data_Provenance,Field_Evidence,Target_Field_Evidence_Page,Target_Field_Evidence_Section,Target_Field_Evidence_Source,Dataset_Evidence_Page,Dataset_Evidence_Section,Dataset_Evidence_Summary,Dataset_Evidence_Status,Dataset_Evidence_Source,Training_Data_Source
21,10.1016/j.mri.2024.04.021,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021,IXI dataset; BraTS dataset,IXI: approximately 600 healthy scans available; 503 selected for experiments; BraTS sample size Not reported in supplied export,IXI: 80:20 train:test; BraTS split Not reported,Public_benchmark,Public benchmark,Mixed,Three consecutive low-resolution slices; 2× in-plane/out-of-plane scale; absolute LR voxel size Not reported,IXI original/target sagittal images 256 × 256; original volume approximately 256 × 256 × 150,Dataset: Mixed; availability: Not reported; pairing: Unclear; ground truth: Unclear.,T1-weighted MRI explicitly reported for IXI; BraTS modalities not fully reported in supplied export,T1-weighted (IXI); other BraTS contrast Not reported,Not reported,Dataset: Mixed; availability: Not reported; pairing: Unclear; ground truth: Unclear.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Unclear,Original high-resolution IXI/BraTS images used as reference; exact LR-generation text is incomplete in supplied export,Unclear,Simulated/downsampled conventional MRI; no real low-field acquisition reported,Target field strength was not reported in the available full text.,"1,2,7",Abstract; Dataset description; experiments,Full-text article or supplied publisher text,"1,2,7",Abstract; Dataset description; experiments,Dataset: Mixed; availability: Not reported; pairing: Unclear; ground truth: Unclear.,Full text,Full-text article or supplied publisher text,IXI dataset and BRATS dataset
22,10.1002/mrm.29642,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,HCP S1200 high-field training source plus real 0.055 T volunteer/patient MRI,HCP: 1248 T1W and 1182 T2W training datasets; 268 validation and 200 testing datasets; real 0.055 T: 30 healthy volunteers and 8 patients (10 healthy used for reproducibility subset),HCP training/validation/testing sets explicitly separated; real volunteer/patient cohorts used for prospective application/validation,Mixed,Mixed,Mixed,3 mm isotropic for real 0.055 T dual acquisitions,1.5 mm isotropic synthetic super-resolution target/output,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,3D inversion FSE (T1W); 3D FSE (T2W),T1-weighted; T2-weighted,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,0.055 T real ULF; training inputs synthesized to ULF characteristics from 3 T HCP data,Explicitly reported,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,≤64 mT,low-field → low-field,low-field → low-field,Synthetic degradation/proxy,HCP high-resolution 3 T brain MRI used to synthesize paired ULF training data; 3 T same-subject MRI used for real-data comparison,Paired by construction,Mixed — training uses synthesized 0.055 T-like data from 3 T HCP; model is applied to real 0.055 T volunteers/patients,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,"1,3,5,6",Abstract; Training data; Acquisition; patient evaluation,Full-text article or supplied publisher text,"1,3,5,6",Abstract; Training data; Acquisition; patient evaluation,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,"e WU-Minn
Human Connectome Project (HCP S1200), experimental data was obtained from 8 patients recruited
from neurology and neurosurgery clinics at Hong Kong
Queen Mary Hospital"
23,10.1109/TBME.2024.3396223,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,fastMRI 3 T knee source data transformed into simulated ~50 mT low-field experiments,1260 training; 360 validation; 180 testing images,70% training / 20% validation / 10% testing,Synthetic,Synthetic,Synthetic/derived,Not reported,Not reported,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,3D single-coil spin-echo knee MRI,Not reported,Public,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,>64 mT,"Approximately 50 mT, retrospectively simulated from 3 T knee MRI",Explicitly reported,Approximately 50 mT reconstructed image/field-map target,Approximately 50 mT reconstructed image/field-map target,≤64 mT,low-field → low-field,low-field → low-field,Simulation/reference model,3 T fastMRI knee image plus simulated smooth B0 field maps/noise model,Paired by construction,Simulated/downsampled high-field data only; no measured low-field MRI,Approximately 50 mT reconstructed image/field-map target,"1,5,6",Abstract; Simulation Training Data; experiments,Full-text article or supplied publisher text,"1,5,6",Abstract; Simulation Training Data; experiments,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,"three-dimensional single-coil spin-echo
acquisitions of the knee at 3 T from the FastMRI dataset  converted to low‑field MRI"
24,10.1109/TMI.2020.2974858,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020,IXI; NAMIC brain multimodality datasets,"IXI: 7000 T2-PD pairs from 56 subjects training, 1955 pairs from 16 subjects testing; NAMIC: 1620 T2-T1 pairs from 18 subjects training, 180 pairs from 2 subjects testing",Dataset-specific training/test subject splits; IXI additionally reports 10-fold cross-validation,mixed,Mixed,Mixed,"2×, 3×, and 4× downsampled T2 inputs from original 256 × 256 HR images; patch training 64 × 64",256 × 256 high-resolution T2 target,Dataset: Mixed; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,T2-weighted super-resolution with PD or T1 high-resolution reference contrast,T2 target; PD reference (IXI); T1 reference (NAMIC),Public,Dataset: Mixed; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Synthetic degradation/proxy,Original high-resolution T2 image; registered PD/T1 same-subject images provide multi-contrast reference information,Paired by construction,Simulated/downsampled conventional MRI; no real low-field acquisition reported,Target field strength was not reported in the available full text.,"5,10",Dataset description; reader study,Full-text article or supplied publisher text,"5,10",Dataset description; reader study,Dataset: Mixed; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,"IXI Dataset, NAMIC Dataset"
25,10.1016/j.compmedimag.2021.101969,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021,"Four MRI datasets covering cardiac, brain, knee and whole-heart/multimodal experiments",50 3D MRI samples selected: 40 training (3200 2D images) and 10 validation (960 2D images); abstract calls 10 sets 'test'; an additional independent 10-sample test is also described,"Unclear — Methods reports 40 train/10 validation plus independent tests, whereas the abstract describes 40 train/10 test","Cardiac, brain, knee, multimodal whole heart",Mixed,Mixed,Low-resolution images generated by bicubic interpolation at multiple scale factors; absolute LR voxel size Not reported,Original high-resolution MRI; absolute voxel size Not reported,Dataset: Mixed; availability: Not reported; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Multiple MRI datasets/anatomies; specific acquisition sequences not consistently reported,Not reported,Not reported,Dataset: Mixed; availability: Not reported; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Synthetic degradation/proxy,Original high-resolution MRI corresponding to bicubic-generated low-resolution inputs,Paired by construction,Simulated/downsampled conventional MRI; no real low-field acquisition reported,Target field strength was not reported in the available full text.,"1,6",Abstract; Experimental setup,Full-text article or supplied publisher text,"1,6",Abstract; Experimental setup,Dataset: Mixed; availability: Not reported; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,
26,10.1016/j.bspc.2023.105710,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,EMIDEC benchmark MRI dataset,Not available,Not available,public miccai benchmark,Public benchmark,Real,256 × 256 pixels after preprocessing resize; original acquisition resolution Not available,256 × 256 segmentation-mask grid after preprocessing,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Short-axis delayed-enhancement/late-gadolinium-enhancement cardiac MRI,Late gadolinium enhancement (LGE/DE-MRI),Public,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not available,Not available,Clinical annotation,EMIDEC segmentation labels/ground truth,Not applicable,Not available,No distinct target field applies to this study design.,1-7,Abstract; Introduction; Methodology snippets; preprocessing,Full-text article or supplied publisher text,1-7,Abstract; Introduction; Methodology snippets; preprocessing,Dataset: Real; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Partial text,Full-text article or supplied publisher text,EMIDEC dataset
27,10.23919/EUSIPCO54536.2021.9615963,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,Not available,Not available,Not available,Public IXI diffusion-weighted MRI of healthy subjects,Public benchmark,Not available,Not available,Not available,Dataset: Not available; availability: Not available; pairing: Not available; ground truth: Not available.,Not available,Not available,Not available,Dataset: Not available; availability: Not available; pairing: Not available; ground truth: Not available.,Synthetic/derived (field unresolved),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Target field strength could not be verified from the available publisher text.,1,PDF identity check,Full-text article or supplied publisher text,1,PDF identity check,Dataset: Not available; availability: Not available; pairing: Not available; ground truth: Not available.,Not available,Full-text article or supplied publisher text,Diffusion-weighted brain MRI from IXI dataset (public); low-resolution data simulated by FSL under-sampling by factor 2 in all dimensions; then sinc-interpolated back to HR grid for input to UNet-based models.
28,10.1016/j.mri.2020.09.018,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,1.5 T MS brain source dataset; OASIS-3 3 T brain; York University cardiac MRI; derived acceleration-factor target domains,Source: 1407 brain images from 30 MS patients training and 431 images from 8 other MS patients testing; target fine-tuning uses 50–500 images; cardiac dataset acquired from 33 patients,Source-domain train/test explicitly separated; target-domain fine-tuning sizes 50/100/300/500 or 50/200/300/500 depending experiment; 431 target-domain test images for AF 2/6,Human brain and cardiac images,Mixed,Mixed,"256 × 256 images; under-sampled k-space inputs at AF 2, 4, or 6",Fully sampled artifact-free 256 × 256 MR image,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured same-subject reference.,T2-weighted turbo spin-echo brain MRI; cardiac FIESTA,T2-weighted brain; FIESTA/bSSFP cardiac,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured same-subject reference.,>64 mT,1.5 T and 3 T,Explicitly reported,Same field strength as each corresponding fully sampled reference,Same field strength as each corresponding fully sampled reference,Standard/high-field,standard/high-field only,standard/high-field only,Measured same-subject reference,Fully sampled artifact-free MR image used as label for the corresponding under-sampled input,Paired by construction,Neither real low-field nor low-field simulation; conventional 1.5 T/3 T data with synthetic k-space undersampling,Same field strength as each corresponding fully sampled reference,"1,3-5",Abstract; Methods; dataset descriptions,Full-text article or supplied publisher text,"1,3-5",Abstract; Methods; dataset descriptions,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,Brain: 1.5T (various patients) and OASIS-3 (3T). Cardiac: Open-source dataset from York University.
29,10.7759/cureus.71277,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024,Single-center 3 T knee training cohort and independent 0.4 T knee clinical evaluation cohort,3 T: 45 patients with knee disorders + 6 normal subjects; 0.4 T: 25 patients with knee disorders,3 T cohort used for model training; separate 0.4 T cohort used for clinical evaluation; no random train/validation/test percentages reported,,Not reported,Mixed,SR model input 256 × 256 after downsampling/upsampling training preparation; original 0.4 T matrices vary by sequence,448 × 448 SR output,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,T1WI; T2WI; fat-suppressed T2WI/STIR knee MRI,T1-weighted; T2-weighted; fat-suppressed T2/STIR,Private,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,>64 mT,Training source 3 T; real deployment/evaluation input 0.4 T,Explicitly reported,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,>64 mT low-field,Mixed,mixed,Synthetic degradation/proxy,High-resolution 3 T knee MRI used to construct low-resolution training inputs and corresponding targets,Paired by construction,Mixed — model trained on synthetically degraded 3 T images and applied to real 0.4 T clinical MRI,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,1-4,Abstract; MRI protocol; DL model development,Full-text article or supplied publisher text,1-4,Abstract; MRI protocol; DL model development,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,"3T knee MRI (Siemens Magnetom Skyra, 8-channel coil) used to train both models; applied to 0.4T knee MRI (Fujifilm APERTO Lucent)."
30,10.1148/radiol.233529,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,Paired 64 mT Hyperfine and 3 T Siemens MS cohort from University of Pennsylvania and NIH; separate validation group,50 participants in main group; 13 participants in validation group,Leave-five-out cross-validation within main group using 10 models; separate 13-participant clinical validation group,Clinical,Clinical,Real,64 mT: T1/T2 1.5 × 1.5 × 5 mm; FLAIR 1.6 × 1.6 × 5 mm,3 T: T1-weighted 1 mm isotropic; T2 0.5 × 0.5 × 5 mm or 0.3 × 0.3 × 3 mm; FLAIR high-resolution protocol,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,T1-weighted; T2-weighted; FLAIR,T1; T2; FLAIR,Private,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Unknown,64 mT,Explicitly reported,3 T measured same-subject target/reference,3 T measured same-subject target/reference,Standard/high-field,low-field → standard/high-field,low-field → standard/high-field,Measured same-subject reference,Same-day 3 T MRI from the same participants (main group); clinical 3 T scans for validation group,Paired,Real low-field data — portable 64 mT MRI paired with real 3 T data,3 T measured same-subject target/reference,1-5,Abstract; MRI Scanning Procedures; DL Model; validation,Full-text article or supplied publisher text,1-5,Abstract; MRI Scanning Procedures; DL Model; validation,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,Hospital of the University of Pennsylvania and National Institutes of Health Clinical Center
31,10.1007/s00234-024-03448-2,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,12-patient paired 0.36 T/1.5 T pediatric epilepsy cohort in Nigeria; public HCP and Leipzig high-field training data,12 pediatric patients for clinical evaluation; public-training sample count Not reported in this paper,Clinical cohort evaluated as a paired reader-study set; training split not reported in this paper,"Mixed (Clinical and Public-benchmark (HCP, Leipzig))",Mixed,Mixed,"Clinical LF/HF axial images: 0.5 mm in-plane, 5 mm slice thickness, 1 mm gap",IQT-enhanced LF output compared with measured 1.5 T high-field reference; exact output voxel grid Not reported,Dataset: Mixed; availability: Mixed; pairing: Paired; ground truth: Measured same-subject reference.,T1-weighted; T2-weighted; FLAIR,T1; T2; FLAIR,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired; ground truth: Measured same-subject reference.,>64 mT,0.36 T real low-field clinical MRI; training LF inputs synthetically generated from high-field data,Explicitly reported,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,Standard/high-field,low-field → standard/high-field,low-field → standard/high-field,Measured same-subject reference,1.5 T MRI from the same pediatric patients for clinical evaluation; HCP/Leipzig high-field images for training target,Paired,Mixed — training uses synthetic LF images derived from high-field datasets; clinical evaluation uses real 0.36 T MRI,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,"1-4,9",Abstract; Methods; IQT training; radiologist evaluation; Data availability,Full-text article or supplied publisher text,"1-4,9",Abstract; Methods; IQT training; radiologist evaluation; Data availability,Dataset: Mixed; availability: Mixed; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,"Training: High-resolution images from public datasets (WU-Minn Human Connectome Project, Leipzig Study for Mind-Body-Emotion Interactions). Evaluation: Single-center data from patients scanned on a 0.36T and a 1.5T scanner in Ibadan and Ilorin, Nigeria."
32,10.1038/s41598-022-10298-6,Deep learning-based single image super-resolution for low-field MR brain images,2022,Public NYU fastMRI brain data plus two real low-field brain scans from healthy volunteers,"29,059 training image pairs; 10,000 validation pairs; 7,292 test pairs; 190,000 training patches; two real low-field 3D brain scans from two healthy volunteers","Patient-level split from fastMRI; 29,059 training pairs; original 17,292 validation pairs subdivided into 10,000 validation and 7,292 test",Mixed,Mixed,Mixed,64 × 64 pixels for simulated/noisy LR training input; real low-field slices can differ in size,128 × 128 pixels for HR target/output,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,"Training: T1-weighted, T2-weighted and FLAIR; real low-field: turbo spin echo",T1; T2; FLAIR; real low-field TSE contrasts,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,>64 mT,Training source images acquired at 1.5 T and 3 T then degraded to emulate low field; real test scanner described by O'Reilly et al. as 50 mT,Explicitly reported,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan","High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan",Mixed/conditional,Mixed,mixed,Synthetic degradation/proxy,Noise-free 128 × 128 high-resolution image derived from public fastMRI data,Paired by construction,Mixed — model training uses simulated low-field-like LR images generated from 1.5/3 T data; testing includes real approximately 50 mT scans,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan","1,3,5,8-9",Abstract; imaging model; Dataset; low-field acquisition,Full-text article or supplied publisher text,"1,3,5,8-9",Abstract; imaging model; Dataset; low-field acquisition,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,"NYU fastMRI Initiative database (fastmri.med.nyu.edu) with T1-weighted, T2-weighted and FLAIR images from 1.5T and 3T scanners; Low-field MRI scanner (50 mT) at Leiden University Medical Center"
33,10.1038/s41598-022-14039-7,Deep learning for fast low-field MRI acquisitions,2022,In-house 0.1 T wrist/hand MRI dataset,"10 fully sampled 3D scans for training/validation (8 train, 2 validation); 6 additional retrospective test scans; 6 separate prospective test scans",80% (8 sets) training / 20% (2 sets) validation; 6 retrospective test sets and 6 prospective test sets,Private_proprietary,Private,Real,Acquired 128 × 115 × 9; zero-filled network input 128 × 128 × 9; voxel size 1.2 × 1.2 × 6.3 mm,Fully sampled 128 × 128 × 9 reconstruction grid after zero filling; voxel size 1.2 × 1.2 × 6.3 mm,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,3D spoiled gradient echo (GRE),Complex magnitude and phase GRE data,Private,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Unknown,0.1 T,Explicitly reported,0.1 T same-acquisition fully sampled reference,0.1 T same-acquisition fully sampled reference,>64 mT low-field,low-field → low-field,low-field → low-field,Measured same-subject reference,Fully sampled 0.1 T acquisition corresponding to retrospectively undersampled input; prospective undersampled acquisitions evaluated separately,Paired by construction,Real low-field data at 0.1 T; retrospective and prospectively acquired undersampling are both evaluated,0.1 T same-acquisition fully sampled reference,"1-2,7,11",Abstract; Low-field data; Prospective study; Data availability,Full-text article or supplied publisher text,"1-2,7,11",Abstract; Low-field data; Prospective study; Data availability,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,In-house dataset acquired at 0.1T on a compact biplanar system at the University of Basel (AMT Center); 3D spoiled GRE wrist images; not publicly available but available on request for noncommercial research
34,10.1148/radiol.230427,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023,Prospective single-center prostate MRI cohort; proprietary Precise-Image-Net pretraining corpus,109 male participants with suspected prostate cancer; Precise-Image-Net previously trained on 6 million HR/downscaled image pairs,Prospective 109-participant evaluation cohort; training split of the proprietary 6-million-pair corpus Not reported,Prospective study of adult male patients with suspected prostate cancer,Clinical,Real,T2DL acquired 0.6 × 0.7 × 3 mm; T2C 0.46 × 0.51 × 3 mm; T2NC 0.49 × 0.49 × 3 mm,Reconstructed: T2DL 0.16 × 0.16 × 3 mm; T2C 0.16 × 0.16 × 3 mm; T2NC 0.35 × 0.35 × 3 mm,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,T2-weighted turbo spin-echo (Cartesian and non-Cartesian),T2-weighted prostate MRI,Private,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Unknown,3.0 T,Explicitly reported,3.0 T,3.0 T,Standard/high-field,standard/high-field only,standard/high-field only,Measured same-subject reference,Standard-resolution Cartesian/non-Cartesian T2-weighted sequences acquired in the same participants,Paired,Real high-field clinical data only; no low-field acquisition or low-field simulation,3.0 T,"1-3,9",Abstract; MRI Protocol; DL framework; limitations,Full-text article or supplied publisher text,"1-3,9",Abstract; MRI Protocol; DL framework; limitations,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,Precise-Image-Net was trained on 6 million image pairs of originally high-resolution and secondary downscaled images
35,10.3389/fneur.2024.1339223,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,Paired 64 mT Hyperfine and 3 T Siemens structural MRI in a community sample of young people,70 individuals aged 9–26 years,No study-specific model training split; pretrained SynthSR is applied to the paired cohort,Community sample of young people (Ages 9–26 years),Clinical,Real,64 mT: 1.6 × 1.6 × 5 mm,3 T: 0.8 × 0.8 × 0.8 mm; SynthSR predicts 1 mm isotropic MP-RAGE-like output,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,T1-weighted and T2-weighted structural MRI,T1; T2,Private,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Synthetic/derived (field unresolved),64 mT,Explicitly reported,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,Standard/high-field,low-field → standard/high-field,low-field → standard/high-field,Measured same-subject reference,3 T Siemens scans from the same individuals used for morphometric correspondence comparisons,Paired,Real low-field data at 64 mT; current study applies a pretrained SynthSR model rather than training on the cohort,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,"1,3,12-13",Abstract; MRI acquisition; Data availability; Code availability,Full-text article or supplied publisher text,"1,3,12-13",Abstract; MRI acquisition; Data availability; Code availability,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,"SynthSR was used (it is typically trained on synthetic data, though the paper uses a ""Hyperfine-specific version"")"
36,10.1109/TCI.2020.2964201,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,NYU fastMRI singlecoil knee dataset,"159 patient scans / 5,744 slices for training+validation; 43 patient scans / 1,500 slices for testing",159 scans split 80% training / 20% validation; independent test: 43 scans,Public_benchmark,Public benchmark,Real,160 × 160 synthetic LR image before PLR enlargement (2-fold degradation from 320 × 320 HR),320 × 320,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Not reported,Proton-density weighted knee MRI,Public,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Unknown,1.5 T or 3 T source acquisitions; LR generated synthetically from those scans,Explicitly reported,1.5 T or 3 T measured HR reference,1.5 T or 3 T measured HR reference,Standard/high-field,standard/high-field only,standard/high-field only,Measured high-resolution reference,Original measured 320 × 320 fastMRI image; LR counterpart generated by k-space truncation,Paired by construction,Simulated/downsampled standard/high-field data; no real low-field acquisition,1.5 T or 3 T measured HR reference,"2,4,10",Methodology—Down-Sampling; Results—Experimental Implementation; Reference [43],Full-text article or supplied publisher text,"2,4,10",Methodology—Down-Sampling; Results—Experimental Implementation; Reference [43],Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Full text,Full-text article or supplied publisher text,"Public fastMRI knee dataset from NYU (single-coil acquisition, proton density weighted)"
37,10.3389/frai.2022.928181,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022,Synthetic cerebrovascular CFD data; in vivo cerebrovascular 4D-flow MRI; in vivo cardiovascular 4D-flow MRI,"6 synthetic cerebrovascular subjects; 24 in vivo datasets (21 cardiovascular, 3 cerebrovascular)","Synthetic: three folds, 5 subjects/120 samples train and 1 subject/24 samples validation per fold; in vivo cardiovascular fine-tuning: 17 subjects train and 4 validation; cross-domain evaluation on cerebrovascular data",Mixed,Mixed,Mixed,"LR patches: 24×24×12×3 (2×), 16×16×8×3 (3×), 12×12×6×3 (4×); acquired in vivo spatial resolution 0.82 mm isotropic cerebrovascular and 2.1–2.5 mm cardiovascular","HR patch 48×48×24×3; acquired reference spatial resolution 0.82 mm isotropic cerebrovascular, 2.1–2.5 mm cardiovascular; synthetic reference 0.25 mm isotropic",Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Mixed reference.,4D-flow MRI / phase-contrast flow MRI,Velocity-encoded phase plus magnitude; no contrast agent,Private,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Mixed reference.,>64 mT,1.5 T Siemens Avanto cardiovascular; 3 T Philips Achieva TX cerebrovascular; synthetic CFD has no scanner field strength,Explicitly reported,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,Standard/high-field,standard/high-field only,standard/high-field only,Mixed reference,Acquired 4D-flow volume is treated as HR reference for in vivo data; CFD velocity field is the synthetic reference,Paired by construction,Simulated/downsampled standard/high-field MRI plus CFD simulation; no real low-field MRI,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,"6-8,12-13",2.4 Datasets; Table 1; 2.5 Data preparation; 3.1-3.2 Experiments; Table 5; Data availability,Full-text article or supplied publisher text,"6-8,12-13",2.4 Datasets; Table 1; 2.5 Data preparation; 3.1-3.2 Experiments; Table 5; Data availability,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Mixed reference.,Full text,Full-text article or supplied publisher text,"Multi-center. Synthetic: CFD simulations (OpenFOAM) from patient-specific geometries segmented from 3D rotational angiograms. In vivo cardiovascular: 1.5T Siemens Avanto, healthy subjects, prospective ECG triggering. In vivo cerebrovascular: 3T Philips Achieva TX, ICA aneurysm patients, peripheral pulse triggering. Institutions: TUM, University of Zurich, LMU Munich."
