Paper_ID,DOI,Title,Evidence_Document,Evidence_Source,Rubric_Version,TR_LowFieldDomain,TR_LowFieldDomain_Decision,TR_LowFieldDomain_Evidence_Page,TR_LowFieldDomain_Evidence_Section,TR_LowFieldDomain_Reason,TR_OpenScience,TR_OpenScience_Decision,TR_OpenScience_Evidence_Page,TR_OpenScience_Evidence_Section,TR_OpenScience_Reason,TR_ClinicalEvaluation,TR_ClinicalEvaluation_Decision,TR_ClinicalEvaluation_Evidence_Page,TR_ClinicalEvaluation_Evidence_Section,TR_ClinicalEvaluation_Reason,TR_HardwareAwareness,TR_HardwareAwareness_Decision,TR_HardwareAwareness_Evidence_Page,TR_HardwareAwareness_Evidence_Section,TR_HardwareAwareness_Reason,TR_DataDiversity,TR_DataDiversity_Decision,TR_DataDiversity_Evidence_Page,TR_DataDiversity_Evidence_Section,TR_DataDiversity_Reason,TR_Score
33,10.1007/s00234-024-03448-2,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,33. Evaluation of epilepsy lesion visualisation.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,2,IQT training,"The model is trained on synthetic LF derived from high-field data, and the real LF scanner is 0.36 T, above 64 mT.",1,Yes,2,IQT method,A persistent public GitHub URL to the model/code is explicitly provided.,1,Yes,1,Abstract,Seven radiologists directly evaluated tissue differentiation and lesion definition.,0,No,Not reported,Full text review,"No qualifying inference/deployment hardware requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,3,Clinical evaluation,"Real paired LF/HF data in an LMIC clinical setting, multiple lesion types, and reader-expertise effects are explicitly evaluated.",3
34,10.1038/s41598-022-10298-6,Deep learning-based single image super-resolution for low-field MR brain images,34. Deep learning‑based single image super‑resolution for low‑field MR brain images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,5,Dataset/Data preparation,Training uses high-field images computationally degraded to emulate low-field conditions; no training/fine-tuning on measured ≤64 mT data is reported.,0,No,Not reported,Full text review,"The fastMRI URL is a dataset source, not a persistent URL to this study's code/model weights. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,8,Low-field evaluation,Evaluation is visual/technical in healthy volunteers; no radiologist/clinical-reader study or downstream clinical task is reported.,0,No,8,Training details,Only training hardware/time is reported; it does not qualify as inference/deployment hardware awareness.,1,Yes,5,Dataset/real-data transfer,The model is trained across multiple contrasts/field strengths and explicitly transferred to real low-field acquisitions.,1
35,10.1038/s41598-022-14039-7,Deep learning for fast low-field MRI acquisitions,35. Deep learning for fast low field MRI acquisitions.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,"0.1 T is 100 mT, above the strict ≤64 mT training threshold.",0,No,11,Data availability/References,"Data are on request, and referenced Keras/Gist resources are not this study's public source code/model weights.",0,No,1-11,Results,No clinical-reader evaluation or downstream clinical task is reported.,0,No,3-4,Implementation,Reported GPU is used for model training/experimentation; no inference/deployment requirement is provided.,1,Yes,1,Abstract,Prospective real acquisition and multiple sampling patterns/acceleration factors are explicitly evaluated.,1
36,10.1148/radiol.230427,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,36. Deep-learning-super-resolution-reconstruction-for-fast-and-motion-robust-t2-weighted-prostate-mri.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,2,MRI Protocol,Neither training/fine-tuning nor evaluation is conducted at ≤64 mT.,0,No,Not reported,Full text review,"No persistent public study code/model-weight URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1,Abstract/reader evaluation,Two clinical readers qualitatively evaluated images and PI-RADS diagnostic agreement.,0,No,9,Limitations,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,1,Prospective study,"Prospective real-world clinical acquisition is evaluated, including motion/artifact ratings and same-subject sequence comparisons.",2
37,10.3389/fneur.2024.1330203,Super resolution using sparse sampling at portable ultra-low field MR,37. Super resolution using sparse sampling at portable ultra-low field MR.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,The criterion specifically requires a model trained/fine-tuned on ≤64 mT data; FouSR is a non-AI Fourier algorithm and has no training phase.,0,No,11,Data availability,No persistent public URL to source code/model weights is provided; author-available data do not satisfy Open Science.,1,Yes,1,Abstract,Three experienced MS neurologists assessed WML and anatomical visualization.,0,No,1,Abstract,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,1,Methods/Abstract,"Real portable ULF clinical acquisition, same-day cross-field reference, and lesion evaluation provide real-world diversity evidence.",2
38,10.3389/fneur.2024.1339223,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,38. Bridging the gap improving correspondence between low-field and high-field magnetic resonance images in young people.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,3,Methods,The current study applies a pretrained SynthSR model; it does not report training or fine-tuning that model on ≤64 mT data.,1,Yes,13,Code statement,A persistent public GitHub URL for the study's data-analysis source code is provided.,0,No,3,Quality control,"Radiologist review is scan quality/incidental-finding screening, not qualitative evaluation of the SR output; morphometric segmentation alone is not sufficient.",0,No,Not reported,Full text review,"No inference/deployment hardware or resource requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1,Study design,"Real paired cross-field/vendor data, a youth population, and evaluation of a pretrained model outside its original training context provide external generalisation evidence.",2
39,10.1109/TCI.2020.2964201,MRI Super-Resolution With Ensemble Learning and Complementary Priors,39. MRI_Super-Resolution_With_Ensemble_Learning_and_Complementary_Priors.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,4,Results—Experimental Implementation,"The model is trained on synthetically degraded data derived from 1.5 T/3 T acquisitions, not data at or below 64 mT.",0,No,1-10,Full-text code/model availability review,"No persistent public URL to this study's source code or model weights is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,4-10,Results/Discussion,Evaluation is image-reconstruction quality only; no radiologist/clinical-reader assessment or defined downstream clinical task performance is reported.,0,No,4,Experimental Implementation,"The GPU is reported for the experiment/training process. No inference/deployment hardware requirement, model-size requirement, or device-tied inference time is reported; training hardware alone does not qualify.",0,No,4,Experimental Implementation,"Although the dataset contains scans from two field strengths, the study does not analyze scanner/vendor variability, external generalization, motion, multicentre heterogeneity, or another qualifying real-world diversity challenge.",0
40,10.3389/frai.2022.928181,SRflow: Deep learning based super-resolution of 4D-flow MRI data,40. SRflow Deep learning based super-resolution of 4D-flow MRI data.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,6-8,Datasets and training/fine-tuning,Training/fine-tuning uses standard/high-field data; no data at or below 64 mT are reported.,0,No,13,Data availability / full-text code review,"The paper gives a data-request route but no persistent public URL to this study's source code or model weights. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,12,§4.2 Global quality evaluation,"The study evaluates a defined downstream hemodynamic visualization task—streamline tracing—on in vivo data, not image quality alone.",0,No,12-13,Table 5; runtime paragraph,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,"6,8",§2.4 Datasets; §3.2 Experiment-2,"The study deliberately evaluates two scanners/vendors, two field strengths, prospective in-vivo cohorts, synthetic-to-real transfer, and cross-anatomy/scanner generalization.",2
41,10.1109/TMI.2020.3037187,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,41. SMORE_A_Self-Supervised_Anti-Aliasing_and_Super-Resolution_Algorithm_for_MRI_Using_Deep_Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,"6,9-10",§III-A-C,"Self-supervised training is explicit on 3 T simulated-source data and on acquired LR data whose field strength is not reported; ≤64 mT training therefore cannot be established. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1,Author footnote,The paper explicitly states code is available upon request; the supplied definition says this is not Open Science Yes.,0,No,12,Discussion,The authors explicitly state that the paper has neither task-specific evaluation nor human-observer experiments.,0,No,10-11,§III-D Time Cost,The K80 is explicitly tied to training. Testing time is reported separately without a specified inference device; training hardware alone must not be counted.,1,Yes,9-12,§III-B-C; Discussion,"The method is evaluated on actual acquired LR MRI in addition to simulations, across multiple contrasts/protocols and noise conditions; this constitutes real-world acquisition diversity.",1
42,10.1109/ICMIPE53131.2021.9698880,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,42. SMIR_A_Transformer-Based_Model_for_MRI_super-resolution_reconstruction.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-3,Image acquisition/training,"Training and testing use retrospectively undersampled 3 T HCP data, not ≤64 mT data.",0,No,1-6,Full-text code/model availability review,"No persistent public URL to the study source code or model weights is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,3-5,Experiments,The study reports reconstruction metrics only; there is no radiologist/clinical-reader evaluation or defined downstream clinical task performance.,0,No,3,§III-A Training and Evaluation,"This is the experimental/training machine. No minimum inference/deployment hardware, model size requirement, or device-tied inference time is reported.",0,No,1-5,Experiments,"The study uses a single HCP acquisition platform and simulated sampling ratios; it does not analyze vendor/scanner variation, multicentre generalization, motion, or another qualifying real-world diversity challenge.",0
43,10.1109/JTEHM.2021.3076152,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,43. Autoencoder-Inspired_Convolutional_Network-Based_Super-Resolution_Method_in_MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,6,§IV-A/§IV-B,The MRI model component uses 0.35 T (350 mT) data; this is above the official ≤64 mT TR cutoff.,0,No,1-13,Full-text code/model availability review,"URLs/codes mentioned for comparator methods are not a persistent public URL to the study's own source code or model weights. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,"1,10-11",Abstract; Results/Discussion,"The paper evaluates reconstruction/image-quality and speed, not a radiologist assessment or a clearly evaluated downstream clinical task.",0,No,"1,6,10-11",Abstract; experimental computer setup; Table 6,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,"6,8",§IV-A; experiment discussion,"The experiments include real 0.35 T volunteer acquisitions, dynamic MRI with physiologic motion, multiple MRI sequences, and XCAT motion simulations, explicitly addressing real acquisition conditions.",1
44,10.1016/j.bspc.2022.104395,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,44. A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor - ScienceDirect.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,4-5,Partial Methods/Results,"Training field strength is not accessible in the supplied partial PDF, so ≤64 mT training cannot be assessed. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-9,Partial full-text/code availability review,"The supplied ScienceDirect print does not expose a complete code/model availability section. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,4-5,Mass-correlation CNN / Results and discussion,The model is evaluated on a defined downstream clinical classification task—brain-tumor class prediction—with performance reported in the Results section.,0,No,4-5,Partial Results/implementation,"Implementation details are incomplete in the supplied print, so inference/deployment hardware requirements cannot be assessed. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,4-5,Partial dataset/results,"The missing dataset table and acquisition details prevent assessment of scanner/vendor, multicentre, motion, prospective, or other qualifying diversity evidence. Under the official rule, absence of explicit qualifying evidence is scored No.",1
45,10.1109/ICSCNA58489.2023.10370139,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,45. Accuracy_Enhancement_in_Detecting_Pituitary_Tumors_Using_Deep_Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-6,Full-text field-strength review,"The paper does not report MRI field strength, so training/fine-tuning at ≤64 mT is not established. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-6,Full-text code/model availability review,"No persistent public URL to study source code or model weights is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,3-5,Dataset/Results; Fig. 7,The study evaluates a defined downstream clinical task—pituitary-tumor versus normal MRI classification—and reports confusion-matrix and accuracy results.,0,No,4-5,Model/Conclusion,"The paper gives a general resource-limited suitability claim but does not report inference/deployment CPU/GPU/RAM requirements, model size, or device-tied inference time. This does not meet the strict criterion.",0,No,3-5,Dataset/Results,"Data augmentation is reported, but the study does not evaluate motion, scanner/vendor variability, multicentre heterogeneity, portability, prospective acquisition, or external generalization.",1
46,10.1016/j.measurement.2020.108838,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,46. A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer’s disease in MRI images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,4,§3 Material and methods,"The model uses explicitly reported 1.5 T MRI, not ≤64 mT training/fine-tuning.",0,No,1-13,Full-text code/model availability review,"No persistent public URL to study source code or model weights is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,8-11,§3.8 classification; Results,"The paper evaluates a defined downstream clinical CAD task—Alzheimer disease classification—and reports accuracy, precision, ROC/AUC and confusion-matrix results.",0,No,9,Results/Fig. 7,"Execution/classification delay is plotted, but no inference device or deployment hardware requirement is reported; therefore the strict criterion is not met.",0,No,4-12,Methods/Results,"The study does not analyze scanner/vendor variation, multicentre data, motion, portability, prospective real-world acquisition, or external generalization.",1
47,10.18280/ts.400329,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,47. A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-8,Full-text field-strength review,"MRI field strength is not reported, so ≤64 mT training/fine-tuning cannot be established. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-8,Full-text code/model availability review,"No persistent public URL to the study's source code or model weights is provided; the dataset DOI is not a code/model URL. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,5-6,§4 Experiments and performance analysis,The study evaluates a defined downstream clinical task—four-class brain-tumor classification—and reports class-specific performance and confusion matrices.,0,No,"3,5",Model description; §4.2,"The paper discusses lightweight/mobile deployment and reports the training machine, but gives no inference/deployment hardware requirement, model size in memory, or device-tied inference time. Training hardware cannot qualify.",0,No,5-6,Dataset/Results,"The study uses preprocessing/augmentation but does not evaluate real-world scanner/vendor variability, multicentre heterogeneity, motion, prospective acquisition, portability, or external generalization.",1
48,10.1016/j.cmpb.2019.105150,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,48. Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo.PDF,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,2-5,Partial Methods/acquisition information,"The training MRI field strength is not available in the supplied partial PDF; ≤64 mT training therefore cannot be assessed. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-9,Partial code/model availability review,"The supplied ScienceDirect export does not expose a complete code/model availability section. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,2-5,Abstract/Discussion,The paper evaluates myocardium segmentation itself. It does not report radiologist/clinical-reader assessment or performance on a separate downstream clinical task; generic segmentation alone does not satisfy the supplied criterion.,0,No,1-9,Partial implementation details,"The supplied partial PDF omits the implementation/hardware details required to evaluate deployment/inference hardware awareness. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,2-4,Abstract/Introduction,"The study explicitly evaluates cross-domain transfer from cine MRI to DCE perfusion MRI and includes CAD, HCM, and healthy subjects, addressing acquisition/domain heterogeneity and generalization.",1
